"","occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","species_reso","genus_reso","late_interval"
"1:203",632230,"occurrence",NA,68016,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.56562,29.228554,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:204",632336,"occurrence",NA,68045,"Daspletosaurus sp.","genus",38608,"Daspletosaurus","genus",38608,"Late Campanian",83.5,70.6,"19504;19504",-112.222694,47.806286,"Daspletosaurus",38608,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Daspletosaurus","sp.",NA,NA,NA
"1:205",634418,"occurrence",NA,68255,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19634;19634",-110.848335,31.696114,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:206",641960,"occurrence",NA,69210,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Maastrichtian",72.1,66,"19952;19952",-103.159576,29.438757,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:207",645034,"occurrence",28454,69624,"Tyrannosaurus ? sp.","genus",38613,"Tyrannosaurus","genus",38613,"Late Campanian",83.5,70.6,"23361;23361",-109.651108,47.398056,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","sp.",NA,"?",NA
"1:208",646548,"occurrence",NA,47034,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Maastrichtian",72.1,66,"23444;23444",-101.626297,45.530899,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:209",680824,"occurrence",NA,73437,"Gorgosaurus lancinator n. sp.","species",63706,"Tarbosaurus bataar","species",57254,"Maastrichtian",72.1,66,"34612;34612",100.477776,43.572224,"Tarbosaurus",53224,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","lancinator","n. sp.",NA,NA
"1:210",680864,"occurrence",NA,58207,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Turonian",93.5,86.3,"24648;24648",64.151436,46.222538,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,"Coniacian"
"1:211",680866,"occurrence",NA,73440,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Turonian",93.5,86.3,"24648;24648",64.151436,46.222538,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,"Coniacian"
"1:212",680881,"occurrence",NA,73446,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Santonian",86.3,70.6,"24648;24648",64.650002,45.950001,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,"Early Campanian"
"1:213",680886,"occurrence",NA,73447,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Santonian",86.3,70.6,"24648;24648",64.650002,45.950001,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,"Early Campanian"
"1:214",680893,"occurrence",NA,73449,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Santonian",86.3,70.6,"24648;24648",64.650002,45.950001,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,"Early Campanian"
"1:215",690123,"occurrence",NA,74175,"Gorgosaurus sp.","genus",53193,"Gorgosaurus","genus",53193,"Maastrichtian",72.1,66,"24895;24895",-103.451668,45.062778,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","sp.",NA,NA,NA
