"","occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus","genus_no","reid_no","genus_reso","late_interval","species_reso"
"1:715",1303283,"occurrence",174232,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Campanian",83.5,70.6,"56875;56875",5.612007,43.48801,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:716",1303313,"occurrence",174241,"Dakotaraptor n. gen. steini n. sp.","species",331110,"Dakotaraptor steini","species",331110,"Late Maastrichtian",70.6,66,"56882;56882",-103.20755,45.233196,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dakotaraptor","steini","Dakotaraptor",331109,NA,"n. gen.",NA,"n. sp."
"1:717",1307506,"occurrence",175225,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Middle Campanian",83.5,70.6,"57254;57254",112.114113,43.735909,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Late Campanian",NA
"1:718",1317659,"occurrence",69890,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Kimmeridgian",157.3,152.1,"13281;13281",-108.826668,45.22361,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:719",1320129,"occurrence",69693,"Deinonychus antirrhopus","species",54555,"Deinonychus antirrhopus","species",54555,"Albian",113,100.5,"58656;58656",-108.729599,45.487,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Deinonychus","antirrhopus","Deinonychus",38562,NA,NA,NA,NA
"1:720",1333030,"occurrence",11582,"Velociraptor sp.","genus",38564,"Velociraptor","genus",38564,"Campanian",83.6,72.1,"59136;59136",99.599998,43.299999,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptor","sp.","Velociraptor",38564,NA,NA,NA,NA
"1:721",1337638,"occurrence",180530,"Unenlagiinae ? indet.","subfamily",68206,"Unenlagiinae","subfamily",68206,"Middle Cenomanian",99.6,89.3,"59904;59904",-68.617775,-39.397778,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Unenlagiinae","indet.",NA,NA,NA,"?","Early Turonian",NA
"1:722",1340155,"occurrence",181024,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Early Campanian",83.5,70.6,"60112;60112",-111,49.599998,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:723",1341984,"occurrence",181415,"Hulsanpes n. gen. perlei n. sp.","species",67680,"Hulsanpes perlei","species",67680,"Campanian",83.6,72.1,"10138;10138",101.125427,43.499592,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Hulsanpes","perlei","Hulsanpes",38563,32702,"n. gen.",NA,"n. sp."
"1:724",1342582,"occurrence",181585,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Albian",105.3,99.6,"60389;60389",-114.551567,36.417606,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
